,éÌóﬁ,à íu X,Y,Z,èÛë‘,
ëê 02,2,-200.000000,-40.000000,200.000000,0,
ëê 02,2,-200.000000,-40.000000,0.000000,0,
ëê 02,2,-200.000000,-40.000000,-200.000000,0,
ëê 02,2,0.000000,-40.000000,200.000000,0,
ëê 02,2,0.000000,-40.000000,0.000000,0,
ëê 02,2,0.000000,-40.000000,-200.000000,0,
ëê 02,2,200.000000,-40.000000,200.000000,0,
ëê 02,2,200.000000,-40.000000,0.000000,0,
ëê 02,2,200.000000,-40.000000,-200.000000,0,
êŒ 00,4,-320.000000,-40.000000,280.000000,0,
êŒ 00,4,-320.000000,-40.000000,240.000000,0,
êŒ 00,4,-320.000000,-40.000000,200.000000,0,
êŒ 00,4,-320.000000,-40.000000,160.000000,0,
êŒ 00,4,-320.000000,-40.000000,120.000000,0,
êŒ 00,4,-320.000000,-40.000000,80.000000,0,
êŒ 00,4,-320.000000,-40.000000,40.000000,0,
êŒ 00,4,-320.000000,-40.000000,0.000000,0,
êŒ 00,4,-320.000000,-40.000000,-40.000000,0,
êŒ 00,4,-320.000000,-40.000000,-80.000000,0,
êŒ 00,4,-320.000000,-40.000000,-120.000000,0,
êŒ 00,4,-320.000000,-40.000000,-160.000000,0,
êŒ 00,4,-320.000000,-40.000000,-200.000000,0,
êŒ 00,4,-320.000000,-40.000000,-240.000000,0,
êŒ 00,4,-320.000000,-40.000000,-280.000000,0,
êŒ 00,4,-320.000000,0.000000,280.000000,0,
êŒ 00,4,-320.000000,0.000000,240.000000,0,
êŒ 00,4,-320.000000,0.000000,200.000000,0,
êŒ 00,4,-320.000000,0.000000,160.000000,0,
êŒ 00,4,-320.000000,0.000000,120.000000,0,
êŒ 00,4,-320.000000,0.000000,80.000000,0,
êŒ 00,4,-320.000000,0.000000,40.000000,0,
êŒ 00,4,-320.000000,0.000000,0.000000,0,
êŒ 00,4,-320.000000,0.000000,-40.000000,0,
êŒ 00,4,-320.000000,0.000000,-80.000000,0,
êŒ 00,4,-320.000000,0.000000,-120.000000,0,
êŒ 00,4,-320.000000,0.000000,-160.000000,0,
êŒ 00,4,-320.000000,0.000000,-200.000000,0,
êŒ 00,4,-320.000000,0.000000,-240.000000,0,
êŒ 00,4,-320.000000,0.000000,-280.000000,0,
êŒ 00,4,320.000000,-40.000000,280.000000,0,
êŒ 00,4,320.000000,-40.000000,240.000000,0,
êŒ 00,4,320.000000,-40.000000,200.000000,0,
êŒ 00,4,320.000000,-40.000000,160.000000,0,
êŒ 00,4,320.000000,-40.000000,120.000000,0,
êŒ 00,4,320.000000,-40.000000,80.000000,0,
êŒ 00,4,320.000000,-40.000000,40.000000,0,
êŒ 00,4,320.000000,-40.000000,0.000000,0,
êŒ 00,4,320.000000,-40.000000,-40.000000,0,
êŒ 00,4,320.000000,-40.000000,-80.000000,0,
êŒ 00,4,320.000000,-40.000000,-120.000000,0,
êŒ 00,4,320.000000,-40.000000,-160.000000,0,
êŒ 00,4,320.000000,-40.000000,-200.000000,0,
êŒ 00,4,320.000000,-40.000000,-240.000000,0,
êŒ 00,4,320.000000,-40.000000,-280.000000,0,
êŒ 00,4,320.000000,0.000000,280.000000,0,
êŒ 00,4,320.000000,0.000000,240.000000,0,
êŒ 00,4,320.000000,0.000000,200.000000,0,
êŒ 00,4,320.000000,0.000000,160.000000,0,
êŒ 00,4,320.000000,0.000000,120.000000,0,
êŒ 00,4,320.000000,0.000000,80.000000,0,
êŒ 00,4,320.000000,0.000000,40.000000,0,
êŒ 00,4,320.000000,0.000000,0.000000,0,
êŒ 00,4,320.000000,0.000000,-40.000000,0,
êŒ 00,4,320.000000,0.000000,-80.000000,0,
êŒ 00,4,320.000000,0.000000,-120.000000,0,
êŒ 00,4,320.000000,0.000000,-160.000000,0,
êŒ 00,4,320.000000,0.000000,-200.000000,0,
êŒ 00,4,320.000000,0.000000,-240.000000,0,
êŒ 00,4,320.000000,0.000000,-280.000000,0,
êŒ 00,4,-320.000000,-40.000000,320.000000,0,
êŒ 00,4,-320.000000,0.000000,320.000000,0,
êŒ 00,4,-280.000000,-40.000000,320.000000,0,
êŒ 00,4,-280.000000,0.000000,320.000000,0,
êŒ 00,4,-240.000000,-40.000000,320.000000,0,
êŒ 00,4,-240.000000,0.000000,320.000000,0,
êŒ 00,4,-200.000000,-40.000000,320.000000,0,
êŒ 00,4,-200.000000,0.000000,320.000000,0,
êŒ 00,4,-160.000000,-40.000000,320.000000,0,
êŒ 00,4,-160.000000,0.000000,320.000000,0,
êŒ 00,4,-120.000000,-40.000000,320.000000,0,
êŒ 00,4,-120.000000,0.000000,320.000000,0,
êŒ 00,4,-80.000000,-40.000000,320.000000,0,
êŒ 00,4,-80.000000,0.000000,320.000000,0,
êŒ 00,4,-40.000000,-40.000000,320.000000,0,
êŒ 00,4,-40.000000,0.000000,320.000000,0,
êŒ 00,4,0.000000,-40.000000,320.000000,0,
êŒ 00,4,0.000000,0.000000,320.000000,0,
êŒ 00,4,40.000000,-40.000000,320.000000,0,
êŒ 00,4,40.000000,0.000000,320.000000,0,
êŒ 00,4,80.000000,-40.000000,320.000000,0,
êŒ 00,4,80.000000,0.000000,320.000000,0,
êŒ 00,4,120.000000,-40.000000,320.000000,0,
êŒ 00,4,120.000000,0.000000,320.000000,0,
êŒ 00,4,160.000000,-40.000000,320.000000,0,
êŒ 00,4,160.000000,0.000000,320.000000,0,
êŒ 00,4,200.000000,-40.000000,320.000000,0,
êŒ 00,4,200.000000,0.000000,320.000000,0,
êŒ 00,4,240.000000,-40.000000,320.000000,0,
êŒ 00,4,240.000000,0.000000,320.000000,0,
êŒ 00,4,280.000000,-40.000000,320.000000,0,
êŒ 00,4,280.000000,0.000000,320.000000,0,
êŒ 00,4,320.000000,-40.000000,320.000000,0,
êŒ 00,4,320.000000,0.000000,320.000000,0,
êŒ 00,4,-320.000000,-40.000000,-320.000000,0,
êŒ 00,4,-320.000000,0.000000,-320.000000,0,
êŒ 00,4,-280.000000,-40.000000,-320.000000,0,
êŒ 00,4,-280.000000,0.000000,-320.000000,0,
êŒ 00,4,-240.000000,-40.000000,-320.000000,0,
êŒ 00,4,-240.000000,0.000000,-320.000000,0,
êŒ 00,4,-200.000000,-40.000000,-320.000000,0,
êŒ 00,4,-200.000000,0.000000,-320.000000,0,
